canonicalName,eolID,inaturalistID,gbifID,wikipediaID,arkiveID,adwID,fishbaseID,amphibiawebID
Caryospora putaminum,6442196,1025186,10776007,,,,,
Coniothyrium bartholomaei,6520118,960327,6020634,,,,,
Coniothyrium concentricum,1017346,381812,2618668,,,,,
Coniothyrium ilicinum,159390,955561,2618655,,,,,
Corynespora olivacea,49257203,1305765,2617838,,,,,
Cucurbitaria berberidis,188818,989585,2619007,,,,,
Cucurbitaria caraganae,6522511,1078115,2618933,,,,,
Cucurbitaria piceae,188981,793967,2618947,,,,,
Delitschia chodocola,6521946,1411815,3543583,,,,,
Delitschia didyma,133994,380894,2615872,,,,,
Delitschia leptospora,6521973,941609,2615870,,,,,
Delitschia marchalii,1030168,382121,2615871,,,,,
Delitschia perpusilla,1030744,1101859,2615857,,,,,
Delitschia polyspora,6521986,1411816,3543575,,,,,
Dictyosporium elegans,295338,382166,2614793,,,,,
Dictyosporium foliicola,997947,382167,2614794,,,,,
Jalapriya toruloides,52782495,1362160,9661097,,,,,
Pseudodictyosporium wauense,299207,383876,2618193,,,,,
Ascochyta asclepiadearum,6435188,1039079,2615119,,,,,
Ascochyta boydii,6435257,1407006,3534797,,,,,
Ascochyta hordei,248858,794079,2614958,Q4803963,,,,
Ascochyta sorghi,295019,379742,2615061,Q4803970,,,,
Ascochyta syringae,1003855,987943,2615156,,,,,
Boeremia hedericola,18159056,542217,9540001,,,,,
Chaetasbolisia falcata,1003964,1010133,2588313,,,,,
